,Name,Property_type,Country,code,latitude,longitude,neighbourhood,Accomadates,Price,guests_included,Extra_people,min_nights,max_nights,Cancellation_policy,amenities,availability_365,bedrooms,beds,room_type,last_review,Reviews_count,review_score,host_listings,host_name,host_id,verified_host
2907,Beautiful Mezzanine Studio (2 Guests) - N. Nasoni,Apartment,Portugal,PRT,41.14422,-8.61221,,2,55.0,2.0,15.0,1,700,moderate,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Heating', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace']",331,1.0,1.0,Entire home/apt,2019-01-18 05:00:00,5,100.0,48,Oporto City Flats,4207615,False
2908,Studio home in Taksim,Apartment,Turkey,TUR,41.03433,28.98532,Cihangir,3,290.0,2.0,36.0,2,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Heating', 'Washer', 'Dryer', 'First aid kit', 'Safety card', 'Essentials', 'Shampoo', 'Hangers', 'Laptop friendly workspace', 'Other']",202,1.0,2.0,Entire home/apt,2019-01-06 05:00:00,35,99.0,1,Semih,116453270,True
2909,Cosy Studio in the Heart of Hong Kong,Apartment,Hong Kong,CHN,22.28684,114.14509,Central & Western District,2,699.0,2.0,542.0,1,1125,flexible,"['TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Doorman', 'Elevator', 'Washer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace']",242,0.0,1.0,Entire home/apt,2019-03-03 05:00:00,8,90.0,1,Nancy,7517718,True
2910,"Spacious, charming & quiet delight",Apartment,United States of America,USA,40.74316,-74.00004,Manhattan,3,250.0,2.0,50.0,2,12,strict_14_with_grace_period,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Other']",317,1.0,1.0,Entire home/apt,2019-02-27 05:00:00,74,95.0,1,Jay,12697791,True
2912,Executive private room near museum station`,Apartment,Australia,AUS,-33.87649,151.21246,Darlinghurst,2,129.0,1.0,0.0,2,90,moderate,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Paid parking off premises', 'Breakfast', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Step-free access', 'Other', 'Handheld shower head', 'Paid parking on premises']",5,1.0,1.0,Private room,2018-12-26 05:00:00,17,99.0,2,Carol And Ian,27619896,False
2913,Cozy Room in TST Ideal for Single Traveler,Hostel,Hong Kong,CHN,22.29826,114.17214,Tsim Sha Tsui,1,322.0,1.0,0.0,2,1125,moderate,"['Wifi', 'Air conditioning', 'Elevator', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Smart lock', 'Private entrance', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",49,1.0,1.0,Private room,2019-02-28 05:00:00,59,96.0,12,Yuki,128381201,False
2914,Apartamento de Qualidade no Porto,Apartment,Portugal,PRT,41.14765,-8.61876,,4,65.0,2.0,15.0,3,365,moderate,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Bathtub', 'High chair', 'Children’s books and toys', 'Crib', 'Room-darkening shades', 'Children’s dinnerware', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Wide doorway', 'Accessible-height toilet', 'Handheld shower head']",297,1.0,1.0,Entire home/apt,2019-01-29 05:00:00,188,97.0,1,Maria De Lurdes,1302034,False
2915,Large 2 Bedroom In Tour Des Canadiens,Guest suite,Canada,CA,45.49661,-73.57056,Downtown Montreal,4,950.0,2.0,25.0,30,1124,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Babysitter recommendations', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Other', 'Paid parking on premises']",314,2.0,2.0,Entire home/apt,2019-01-30 05:00:00,1,100.0,70,Mike,318040,False
2916,"Very bright Studio, downtown Montreal with view.",Apartment,Canada,CA,45.50111,-73.57849,Downtown Montreal,2,90.0,1.0,0.0,1,1125,flexible,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance']",0,0.0,1.0,Entire home/apt,2018-11-25 05:00:00,33,95.0,2,Carole,6543028,False
2918,Studio in the heart of Soho,Apartment,Hong Kong,CHN,22.28483,114.15185,Central & Western District,2,683.0,1.0,0.0,2,360,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Breakfast', 'Elevator', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Long term stays allowed', 'Other']",299,1.0,1.0,Entire home/apt,2019-02-18 05:00:00,22,93.0,3,Cesare & Stefano,3455514,True
2919,HOMESTAY NEAR MONTREAL AIRPORT,Townhouse,Canada,CA,45.49385,-73.79282,Dollard-des-Ormeaux,4,46.0,1.0,20.0,1,1125,strict_14_with_grace_period,"['Air conditioning', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron']",365,1.0,2.0,Shared room,2018-09-03 04:00:00,5,68.0,6,Neera,71573275,False
2920,Stunning Beachside Studio Unit  on Bondi Beach,Apartment,Australia,AUS,-33.89523,151.27387,Bondi Beach,2,100.0,2.0,50.0,2,365,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Elevator', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Private entrance', 'Bathtub', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Long term stays allowed', 'Wide hallway clearance', 'Step-free access', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Waterfront', 'Beachfront']",339,0.0,1.0,Entire home/apt,2019-03-02 05:00:00,22,95.0,3,Natasha,63966593,False
2922,ANITAHOUSE,House,Portugal,PRT,41.12383,-8.6206,,6,70.0,6.0,15.0,2,30,flexible,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Laptop friendly workspace', 'Outlet covers', 'Baby bath', 'Stair gates', 'Children’s books and toys', 'Babysitter recommendations', 'Crib', 'Room-darkening shades', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony']",265,3.0,4.0,Entire home/apt,2018-12-23 05:00:00,23,99.0,2,Luis,188020310,False
2923,Beachside studio in idealic Bronte,Guest suite,Australia,AUS,-33.9004,151.26521,Bronte,2,149.0,2.0,200.0,2,45,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Free street parking', 'Heating', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Smart lock', 'Private entrance', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware']",164,0.0,1.0,Entire home/apt,2019-02-26 05:00:00,51,99.0,1,Vivian,7879669,False
2924,Trendy and cosy apartment with bay views!,Apartment,Australia,AUS,-33.87439,151.22773,Elizabeth Bay/Rushcutters Bay,1,100.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Pool', 'Kitchen', 'Breakfast', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",83,1.0,1.0,Private room,2019-03-01 05:00:00,11,95.0,1,Sarah,2561183,False
2926,The Porto Concierge - Mosaic Mezzanine,Apartment,Portugal,PRT,41.15812,-8.60491,,3,50.0,2.0,10.0,2,1125,moderate,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Pack ’n Play/travel crib', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Patio or balcony']",330,1.0,1.0,Entire home/apt,2019-02-13 05:00:00,37,89.0,1,Philipe,188598816,False
2927,Mong Kok double room private toilet near MTR,Hotel,Hong Kong,CHN,22.32252,114.16968,Mong Kok,2,353.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Smoking allowed', 'Elevator', 'Family/kid friendly', 'Suitable for events', 'Essentials', 'Shampoo']",179,1.0,1.0,Private room,2019-02-17 05:00:00,11,84.0,6,Mui Heung,135868257,False
2928,Penthouse da Música for 8,Apartment,Portugal,PRT,41.15483,-8.62891,,8,300.0,4.0,0.0,1,60,flexible,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Breakfast', 'Elevator', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Private entrance', 'Baby bath', 'Changing table', 'High chair', 'Children’s books and toys', 'Babysitter recommendations', 'Crib', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Wide hallway clearance', 'Wide doorway', 'Well-lit path to entrance', 'Wide doorway', 'Wide clearance to bed', 'Accessible-height bed', 'Wide doorway', 'Accessible-height toilet', 'Wide clearance to shower', 'toilet', 'Wide entryway', 'Beachfront', 'Handheld shower head']",295,2.0,4.0,Entire home/apt,2019-01-02 05:00:00,7,100.0,4,Branca,5390269,False
2929,Chambre privée au coeur de Rosemont,Apartment,Canada,CA,45.54917,-73.57309,Rosemont-La Petite-Patrie,1,16.0,1.0,10.0,2,15,moderate,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Dryer', 'Smoke detector', 'Safety card', 'Essentials', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Wide hallway clearance', 'Step-free access', 'Step-free access']",61,1.0,1.0,Private room,2018-09-30 04:00:00,7,100.0,0,Touria,132115648,False
2930,Jomi House Permit 68030/Al,Apartment,Portugal,PRT,41.15158,-8.61443,,4,75.0,2.0,10.0,1,33,flexible,"['TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'High chair', 'Children’s books and toys', 'Pack ’n Play/travel crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you', 'Paid parking on premises']",138,1.0,2.0,Entire home/apt,2019-02-09 05:00:00,40,97.0,4,Vanessa,55132573,False
2931,Quiet bungalow (Rivière des prairies),Bungalow,Canada,CA,45.63219,-73.61068,Rivière-des-Prairies-Pointe-aux-Trembles,2,24.0,1.0,12.0,3,1125,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Free parking on premises', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Other']",268,1.0,1.0,Private room,2018-12-30 05:00:00,2,100.0,6,Jian,164714644,False
2932,Montréal - Petite Patrie : idéal pour une famille,Apartment,Canada,CA,45.54885,-73.5938,La Petite-Patrie,5,95.0,2.0,20.0,4,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Private entrance', 'Children’s books and toys', 'Hot water', 'Other']",99,3.0,4.0,Entire home/apt,2018-10-09 04:00:00,2,100.0,1,Pascale,186855237,False
2933,Luxury 2 storey apartment with outdoor dining,Loft,Australia,AUS,-33.8716,151.21914,Woolloomooloo,3,200.0,1.0,0.0,1,90,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Breakfast', 'Elevator', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private entrance', 'Hot water', 'Long term stays allowed', 'Host greets you']",0,1.0,1.0,Entire home/apt,2018-07-08 04:00:00,4,100.0,1,Mike,188944892,False
2934,Cozy loft in the heart Old Montreal,Loft,Canada,CA,45.50182,-73.55863,Old Port,3,101.0,1.0,0.0,2,1125,flexible,"['TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Pets allowed', 'Breakfast', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Private living room']",0,1.0,1.0,Entire home/apt,2018-05-26 04:00:00,1,20.0,2,Anas,21615073,False
2935,"Dublex, 4 Room, Terrace, Sunny House at Center",Apartment,Turkey,TUR,40.98682,29.03738,Kadıköy,6,206.0,4.0,53.0,4,30,flexible,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Breakfast', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Bathtub', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",96,2.0,4.0,Entire home/apt,2018-09-08 04:00:00,4,100.0,1,Kerem,40672033,True
2936,Perfect Sea View,Apartment,Portugal,PRT,41.36072,-8.75701,,5,50.0,2.0,10.0,2,300,moderate,"['TV', 'Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Hair dryer', 'Iron', 'Host greets you', 'Beachfront']",252,2.0,4.0,Entire home/apt,2018-09-28 04:00:00,7,100.0,1,José,118337275,True
2937,Modest House,House,Portugal,PRT,41.13317,-8.599,,6,55.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Free street parking', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Self check-in', 'Lockbox', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Pocket wifi', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Luggage dropoff allowed', 'Long term stays allowed']",314,3.0,1.0,Entire home/apt,2019-01-06 05:00:00,30,85.0,2,Julian,160726690,False
2938,Porto Gaia Wine's Place,Apartment,Portugal,PRT,41.13615,-8.62662,,4,50.0,2.0,7.0,2,180,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Elevator', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Private living room', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Step-free access', 'Host greets you']",193,1.0,2.0,Entire home/apt,2019-01-13 05:00:00,12,98.0,1,Enrico & Mariana,19845527,True
2939,Dee Why beachside retreat,Apartment,Australia,AUS,-33.7546,151.29581,,4,119.0,1.0,0.0,5,1125,moderate,"['TV', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Buzzer/wireless intercom', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room']",218,2.0,2.0,Entire home/apt,2019-01-01 05:00:00,1,100.0,2,Darren,17088651,True
2940,The Best point to Enjoy Barcelona,Apartment,Spain,ESP,41.39332,2.18066,Eixample,3,35.0,1.0,30.0,3,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Kitchen', 'Heating', 'Washer', 'First aid kit', 'Essentials', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Host greets you', 'Paid parking on premises']",342,1.0,2.0,Private room,2018-12-04 05:00:00,21,94.0,3,Leonor,3080717,True
2942,Appartement ensoleillé près du marché Jean-Talon,Apartment,Canada,CA,45.53843,-73.61981,Villeray,2,81.0,1.0,0.0,3,14,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Washer', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Laptop friendly workspace']",0,1.0,1.0,Entire home/apt,2018-07-07 04:00:00,1,100.0,1,Alexandra,10344088,False
2943,"Bright, Cosy 1BR Apt in hip area.",Apartment,Hong Kong,CHN,22.28498,114.14157,Sai Ying Pun,3,597.0,1.0,0.0,1,1125,strict_14_with_grace_period,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Suitable for events', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Host greets you']",0,1.0,1.0,Entire home/apt,2018-12-17 05:00:00,5,100.0,1,Hubert,5269198,True
2947,Blue Room With Balcony Barcelona Rambla,Apartment,Spain,ESP,41.38471,2.1697,El Raval,2,55.0,1.0,10.0,2,30,strict_14_with_grace_period,"['Wifi', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'Private living room', 'Hot water', 'Bed linens', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Patio or balcony', 'Step-free access', 'Step-free access', 'Step-free access', 'Wide entryway']",20,1.0,1.0,Private room,2019-01-05 05:00:00,13,86.0,1,Diana,188283884,False
2948,"3 bedroom house close to station, CBD and airport",House,Australia,AUS,-33.94626,151.08673,Beverly Hills,6,151.0,4.0,20.0,2,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home']",34,3.0,5.0,Entire home/apt,2019-02-19 05:00:00,33,92.0,1,Alice,17085220,False
2949,"Ampla Suíte - Próx. a Barra da Tijuca,Jeunesse a..",House,Brazil,BRA,-22.943987570940173,-43.383179178641036,,2,71.0,1.0,0.0,1,30,flexible,"['TV', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Pets allowed', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Private entrance', 'Children’s books and toys', 'Crib', 'Pack ’n Play/travel crib', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Wide doorway', 'Flat path to front door', 'Well-lit path to entrance', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Host greets you']",364,1.0,1.0,Private room,2018-08-12 04:00:00,2,100.0,1,Amalia,86742436,False
2950,Elegant 1bed in Trendy Le Plateau,Apartment,Canada,CA,45.51285,-73.57488,Le Plateau-Mont-Royal,2,119.0,1.0,0.0,5,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Bathtub', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Long term stays allowed', 'Wide hallway clearance', 'Wide doorway', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Accessible-height toilet', 'Step-free access', 'Wide entryway']",199,0.0,1.0,Entire home/apt,2019-03-03 05:00:00,58,98.0,11,Nikki,189519197,False
2953,Sur le Mont-Royal  On the Mont-Royal,Apartment,Canada,CA,45.53623,-73.57112,Le Plateau-Mont-Royal,2,35.0,1.0,0.0,3,60,flexible,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Breakfast', 'Free street parking', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Private living room', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Long term stays allowed', 'Host greets you']",0,1.0,2.0,Private room,2018-09-25 04:00:00,4,95.0,1,Konrad,189965030,False
2954,"Front Row Ocean Views, Super-Spacious Luxury 2/2",Condominium,United States of America,USA,20.7079,-156.44299,Maui,6,259.0,1.0,0.0,4,1125,strict_14_with_grace_period,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed']",208,2.0,2.0,Entire home/apt,2019-02-24 05:00:00,8,95.0,17,Kevin,43068394,False
2956,Casa do Poeta,Apartment,Portugal,PRT,41.14843,-8.60613,,4,59.0,2.0,20.0,2,1125,moderate,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Children’s books and toys', 'Crib', 'Pack ’n Play/travel crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",365,1.0,1.0,Entire home/apt,2018-11-05 05:00:00,27,91.0,4,Jovita&Alexandra,166541664,False
2957,Comfortable room in a cosy flat in city center,Apartment,Turkey,TUR,41.04858,28.98502,Şişli,2,90.0,1.0,0.0,2,1125,flexible,"['Wifi', 'Kitchen', 'Smoking allowed', 'Pets allowed', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Private living room', 'Hot water', 'Bed linens', 'Pocket wifi', 'Microwave', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Oven', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",365,1.0,1.0,Private room,2019-01-01 05:00:00,2,100.0,1,Özgür,42768132,False
